alias,url,lastUpdated,inUse
cbb,https://rss.art19.com/comedy-bang-bang,0/0/0,0
abp,https://rss.acast.com/adambuxton,0/0/0,0
offb,https://rss.art19.com/off-book,0/0/0,0
wtf,https://wtfpod.libsyn.com/rss,0/0/0,0
spon,https://rss.art19.com/spontaneanation-with-paul-f-tompkins,0/0/0,0
i4h,https://rss.art19.com/improv4humans,0/0/0,0
id10t,https://rss.art19.com/id10t,0/0/0,0
cob,https://rss.art19.com/conan-obrien,0/0/0,0
hrtn,https://feeds.megaphone.fm/harmontown,0/0/0,0
offm,https://rss.acast.com/offmenu,0/0/0,0
